verbatimIdentification,cleanedTaxonomy,ambiguous,selected_match,name_change,scientificName,taxonRank,scientificNameID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Lestrolepis;Lestrolepis intermedia,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Lestrolepis;Lestrolepis intermedia,False,True,False,Lestrolepis intermedia,Species,urn:lsid:marinespecies.org:taxname:158873,Animalia,Chordata,Teleostei,Aulopiformes,Paralepididae,Lestrolepis,Success_Batch_Lestrolepis intermedia,WoRMS
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Stemonosudis;Stemonosudis rothschildi,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Stemonosudis;Stemonosudis rothschildi,False,True,False,Stemonosudis rothschildi,Species,urn:lsid:marinespecies.org:taxname:158751,Animalia,Chordata,Teleostei,Aulopiformes,Paralepididae,Stemonosudis,Success_Batch_Stemonosudis rothschildi,WoRMS
Eukaryota;Chordata;Actinopteri;Aulopiformes;Scopelarchidae;Scopelarchus;Scopelarchus analis,Eukaryota;Chordata;Actinopteri;Aulopiformes;Scopelarchidae;Scopelarchus;Scopelarchus analis,False,True,False,Scopelarchus analis,Species,urn:lsid:marinespecies.org:taxname:126367,Animalia,Chordata,Teleostei,Aulopiformes,Scopelarchidae,Scopelarchus,Success_Batch_Scopelarchus analis,WoRMS
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida brasiliensis,Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida brasiliensis,False,True,False,Saurida brasiliensis,Species,urn:lsid:marinespecies.org:taxname:158756,Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,Saurida,Success_Batch_Saurida brasiliensis,WoRMS
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida normani,Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida normani,False,False,False,Saurida normani,Species,urn:lsid:marinespecies.org:taxname:272117,Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,Saurida,Success_Batch_Saurida normani,WoRMS
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida normani,Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida normani,False,True,False,Saurida normani,Species,urn:lsid:marinespecies.org:taxname:272117,Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,Saurida,Success_Batch_Saurida normani,WoRMS
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae,Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae,False,True,False,Exocoetidae,Family,urn:lsid:marinespecies.org:taxname:125452,Animalia,Chordata,Teleostei,Beloniformes,Exocoetidae,,Success_Batch_Exocoetidae,WoRMS
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon,Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon,False,False,False,Cheilopogon,Genus,urn:lsid:marinespecies.org:taxname:125691,Animalia,Chordata,Teleostei,Beloniformes,Exocoetidae,Cheilopogon,Success_Batch_Cheilopogon,WoRMS
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon,Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon,False,True,False,Cheilopogon,Genus,urn:lsid:marinespecies.org:taxname:125691,Animalia,Chordata,Teleostei,Beloniformes,Exocoetidae,Cheilopogon,Success_Batch_Cheilopogon,WoRMS
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae,False,True,False,Carangidae,Family,urn:lsid:marinespecies.org:taxname:125523,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,,Success_Batch_Carangidae,WoRMS
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos,False,False,False,Caranx crysos,Species,urn:lsid:marinespecies.org:taxname:126802,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Caranx,Success_Batch_Caranx crysos,WoRMS
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos,False,True,False,Caranx crysos,Species,urn:lsid:marinespecies.org:taxname:126802,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Caranx,Success_Batch_Caranx crysos,WoRMS
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Selar;Selar crumenophthalmus,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Selar;Selar crumenophthalmus,False,True,False,Selar crumenophthalmus,Species,urn:lsid:marinespecies.org:taxname:159646,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Selar,Success_Batch_Selar crumenophthalmus,WoRMS
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Selene;Selene setapinnis,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Selene;Selene setapinnis,False,True,False,Selene setapinnis,Species,urn:lsid:marinespecies.org:taxname:159647,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Selene,Success_Batch_Selene setapinnis,WoRMS
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola,True,True,False,Seriola,Genus,urn:lsid:marinespecies.org:taxname:125944,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Seriola,Success_Batch_Seriola,WoRMS
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola,True,True,True,Stryphnus,Genus,urn:lsid:marinespecies.org:taxname:131995,Animalia,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stryphnus,Success_Batch_Seriola,WoRMS
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus lathami ,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus lathami,False,True,False,Trachurus lathami,Species,urn:lsid:marinespecies.org:taxname:159655,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Trachurus,Success_Batch_Trachurus lathami,WoRMS
Eukaryota;Chordata;Actinopteri;Carangiformes;Coryphaenidae;Coryphaena;Coryphaena hippurus,Eukaryota;Chordata;Actinopteri;Carangiformes;Coryphaenidae;Coryphaena;Coryphaena hippurus,False,True,False,Coryphaena hippurus,Species,urn:lsid:marinespecies.org:taxname:126846,Animalia,Chordata,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Success_Batch_Coryphaena hippurus,WoRMS
