verbatimIdentification,cleanedTaxonomy,selected_match,scientificName,confidence,taxonRank,taxonID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae,True,Carangidae,97,family,gbif:4253,Animalia,Chordata,,Perciformes,Carangidae,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos,True,"Caranx crysos (Mitchill, 1815)",99,species,gbif:2390762,Animalia,Chordata,,Perciformes,Carangidae,Caranx,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Selar;Selar crumenophthalmus,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Selar;Selar crumenophthalmus,True,"Selar crumenophthalmus (Bloch, 1793)",99,species,gbif:2391007,Animalia,Chordata,,Perciformes,Carangidae,Selar,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Selene;Selene setapinnis,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Selene;Selene setapinnis,True,"Selene setapinnis (Mitchill, 1815)",99,species,gbif:2390733,Animalia,Chordata,,Perciformes,Carangidae,Selene,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola,True,Carangidae,97,family,gbif:4253,Animalia,Chordata,,Perciformes,Carangidae,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus lathami ,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus lathami,True,"Trachurus lathami Nichols, 1920",100,species,gbif:5210468,Animalia,Chordata,,Perciformes,Carangidae,Trachurus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus lathami ,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus lathami,False,"Trachurus lathami Nichols, 1920",99,species,gbif:5210468,Animalia,Chordata,,Perciformes,Carangidae,Trachurus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Carangiformes;Coryphaenidae;Coryphaena;Coryphaena hippurus,Eukaryota;Chordata;Actinopteri;Carangiformes;Coryphaenidae;Coryphaena;Coryphaena hippurus,True,"Coryphaena hippurus Linnaeus, 1758",99,species,gbif:2381939,Animalia,Chordata,,Perciformes,Coryphaenidae,Coryphaena,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Carangiformes;Echeneidae;Echeneis;Echeneis naucrates,Eukaryota;Chordata;Actinopteri;Carangiformes;Echeneidae;Echeneis;Echeneis naucrates,True,"Echeneis naucrates Linnaeus, 1758",98,species,gbif:2375300,Animalia,Chordata,,Perciformes,Echeneidae,Echeneis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa,True,"Alosa Linck, 1790",97,genus,gbif:2412615,Animalia,Chordata,,Clupeiformes,Clupeidae,Alosa,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa alabamae,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa alabamae,True,"Alosa alabamae Jordan & Evermann, 1896",100,species,gbif:2412616,Animalia,Chordata,,Clupeiformes,Clupeidae,Alosa,GBIF_EXACT,GBIF
