featureid	BLK-03-12S_S51_L001	BLK-1-3-12S_S55_L001	BLK-1-4-12S_S56_L001	D01-01-12S_S1_L001	D01-02-12S_S2_L001	D01-03-12S_S3_L001	D01-04-12S_S4_L001	D01-05-12S_S5_L001	D02-01-12S_S7_L001	D02-02-12S_S8_L001	D02-03-12S_S9_L001	D02-04-12S_S10_L001	D02-05-12S_S11_L001	D02-BLK-12S_S12_L001	D03-02-12S_S14_L001	D03-03-12S_S15_L001	D03-04-12S_S16_L001	D03-05-12S_S17_L001	D03-06-12S_S13_L001	D04-02-12S_S19_L001	D04-03-12S_S20_L001	D04-04-12S_S21_L001	D04-05-12S_S22_L001	D04-06-12S_S23_L001	D04-BLK-12S_S24_L001	D06-02-12S_S27_L001	D06-03-12S_S28_L001	D06-04-12S_S29_L001	D06-05-12S_S30_L001	D06-06-12S_S31_L001	D06-BLK-12S_S32_L001	D07-05-12S_S33_L001	D07-06-12S_S34_L001	D07-07-12S_S35_L001	D07-08-12S_S36_L001	D07-09-12S_S37_L001	D08-06-12S_S39_L001	D08-07-12S_S40_L001	D08-08-12S_S41_L001	D08-09-12S_S42_L001	D08-10-12S_S43_L001	D08-BLK-12S_S44_L001	D09-04-12S_S45_L001	D09-05-12S_S46_L001	D09-06-12S_S47_L001	D09-07-12S_S48_L001	D09-08-12S_S49_L001	D09-BLK-12S_S50_L001	D07-BLK-12S_S38_L001	D01-BLK-12S_S6_L001	BLK-1-6-12S_S58_L001	BLK-1-1-12S_S53_L001	D03-BLK-12S_S18_L001	BLK-02-12S_S26_L001	BLK-1-2-12S_S54_L001	BLK-1-5-12S_S57_L001	BLK-04-12S_S52_L001	BLK-01-12S_S25_L001
6750bfa5660db5c1d85a57b1406922a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
5b0caee95285a1d4c71ef477597b5fdf	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a1943cbd7153bf9f1b7291b0e68b7080	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39ad824c63b8c51581d4e63024b8724b	0	0	0	0	0	0	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fbdaa60dfc99bbd935d1b47b5d5fd1f3	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c5fc374f9a485f305370e542b6c7c0cf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
a65af8c4d0edf2098d80bf796891a0f1	0	0	0	0	0	0	0	0	0	0	0	2453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1b32072ab3a71ffb43989dad92a85750	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7cfcd6b4500afbe2370175e2a2326863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04176a6126d453775f399c7f6ee7bc3a	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
