# requirement_level_code	M	M	M	M	R	R	R	R	O	O	R	R	R	R	R	R					
# section	PCR	PCR	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Bioinformatics					
samp_name	assay_name	pcr_plate_id	lib_id	seq_run_id	lib_conc	lib_conc_unit	lib_conc_meth	phix_perc	mid_forward	mid_reverse	filename	filename2	checksum_filename	checksum_filename2	associatedSequences	input_read_count					
EX2107_D11_02W_A	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_02a_18S_S264	OKEX2107part							EX2107_D11_02a_18S_S264_R1_001.fastq.gz	EX2107_D11_02a_18S_S264_R2_001.fastq.gz	f8a8abfca942f7a1543422500c1fb1f9	3732cc1b98c4934672e903b002f223d9		172987					
EX2107_D11_02W_B	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_02b_18S_S301	OKEX2107part							EX2107_D11_02b_18S_S301_R1_001.fastq.gz	EX2107_D11_02b_18S_S301_R2_001.fastq.gz	e859c119522e96d43de697a3a8a5dab6	d6474513729715efd633998e187df400		66493					
EX2107_D11_05W_A	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_03a_18S_S265	OKEX2107part							EX2107_D11_03a_18S_S265_R1_001.fastq.gz	EX2107_D11_03a_18S_S265_R2_001.fastq.gz	d0acdb50922310dd9ca592ddbe331a69	90e25c306164aee7be955741c64e0bac		76037					
EX2107_D11_05W_B	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_03b_18S_S302	OKEX2107part							EX2107_D11_03b_18S_S302_R1_001.fastq.gz	EX2107_D11_03b_18S_S302_R2_001.fastq.gz	314fc0169317fe9086f82b92168ce2b3	1c346d58f54a7729aa8fc4b7e7b6a41f		113833					
EX2107_D11_10W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_04_18S_S266	OKEX2107part							EX2107_D11_04_18S_S266_R1_001.fastq.gz	EX2107_D11_04_18S_S266_R2_001.fastq.gz	838d979cfceca544e48c1a073e59090d	cc5a14d7c39ec51b8efc6733e82a7057		249634					
EX2107_D11_14W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_05_18S_S267	OKEX2107part							EX2107_D11_05_18S_S267_R1_001.fastq.gz	EX2107_D11_05_18S_S267_R2_001.fastq.gz	f09c99eea8990fd39db57ac886f81681	cab3cf40f7eefe173e21caa702591965		55727					
EX2107_D11_BLW	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_Blank_18S_S268	OKEX2107part							EX2107_D11_Blank_18S_S268_R1_001.fastq.gz	EX2107_D11_Blank_18S_S268_R2_001.fastq.gz	baebb4ac9a189707101adad1e2c38d1d	77300de185e287bc9b9a67b02a24f727		197272					
EX2107_D12_01W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D12_01_18S_S269	OKEX2107part							EX2107_D12_01_18S_S269_R1_001.fastq.gz	EX2107_D12_01_18S_S269_R2_001.fastq.gz	580ae0cb9dcf04d5c15f9d27ffde8466	ea9ddd8f2e0e8d578c0b90313b86f480		245482					
EX2107_D12_02W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D12_02_18S_S270	OKEX2107part							EX2107_D12_02_18S_S270_R1_001.fastq.gz	EX2107_D12_02_18S_S270_R2_001.fastq.gz	3d1e9cb659eede1b5e073cea3a5a9491	29bc6c25edac9208230cbfc7edd4d66f		468401					
EX2107_D12_03W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D12_03_18S_S271	OKEX2107part							EX2107_D12_03_18S_S271_R1_001.fastq.gz	EX2107_D12_03_18S_S271_R2_001.fastq.gz	f4a8ea15c2208dbd13a90ae3372290c4	ca8f076e264ac777cb78adf56cf4e1e0		262898					
EX2107_D12_04W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D12_04_18S_S272	OKEX2107part							EX2107_D12_04_18S_S272_R1_001.fastq.gz	EX2107_D12_04_18S_S272_R2_001.fastq.gz	8799dc3ce40b89c7d4b0767b2ddcf90b	12eceae48fb2a83b683119994a6da52b		55683					
EX2107_D12_05W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_12_05_18S_S280	OKEX2107part							EX2107_12_05_18S_S280_R1_001.fastq.gz	EX2107_12_05_18S_S280_R2_001.fastq.gz	f3a1c7db0a816c50b5986cccf4ab0ea1	5f43adbf30edb6f5de278fde96ff75c8		77505					
EX2107_D12_BLW	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D12_Blank_18S_S298	OKEX2107part							EX2107_D12_Blank_18S_S298_R1_001.fastq.gz	EX2107_D12_Blank_18S_S298_R2_001.fastq.gz	febef808ae5397ea4ee7ee40e5fd39e0	febef808ae5397ea4ee7ee40e5fd39e0		0					
EX2107_D13_01W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D13_01_18S_S281	OKEX2107part							EX2107_D13_01_18S_S281_R1_001.fastq.gz	EX2107_D13_01_18S_S281_R2_001.fastq.gz	00deb0a41e20af3cdf6a9d28333e2429	79aa76b7e81c2a03b227445c473f7d4a		147429					
EX2107_D13_02W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D13_02_18S_S282	OKEX2107part							EX2107_D13_02_18S_S282_R1_001.fastq.gz	EX2107_D13_02_18S_S282_R2_001.fastq.gz	febef808ae5397ea4ee7ee40e5fd39e0	febef808ae5397ea4ee7ee40e5fd39e0		0					
EX2107_D13_BLW_A	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D13_Blank_A_18S_S283	OKEX2107part							EX2107_D13_Blank_A_18S_S283_R1_001.fastq.gz	EX2107_D13_Blank_A_18S_S283_R2_001.fastq.gz	cf234e9536d03564b8d45754fad6b0a1	38dfc722deed299246d316be5f7e0b7b		107040					
EX2107_D13_BLW_B	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D13_Blank_B_18S_S299	OKEX2107part							EX2107_D13_Blank_B_18S_S299_R1_001.fastq.gz	EX2107_D13_Blank_B_18S_S299_R2_001.fastq.gz	8048daa074e60dd4e903a9aa28a686b3	1caf1baa114eeca4ed5bde1313ec7415		55439					
EX2107_D14_01W_A	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D14_01a_18S_S273	OKEX2107part							EX2107_D14_01a_18S_S273_R1_001.fastq.gz	EX2107_D14_01a_18S_S273_R2_001.fastq.gz	c099fb74ba0e93d59e5576ad3171c0a6	01e30c7f98f3a6729abbf3d24c27d443		305824					
EX2107_D14_01W_B	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D14_01b_18S_S303	OKEX2107part							EX2107_D14_01b_18S_S303_R1_001.fastq.gz	EX2107_D14_01b_18S_S303_R2_001.fastq.gz	7c37febf818dfb3293851f41917de96f	ff42252fd572cc5ebeb9f2bbd00dc7aa		114482					
EX2107_D14_02W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D14_02_18S_S274	OKEX2107part							EX2107_D14_02_18S_S274_R1_001.fastq.gz	EX2107_D14_02_18S_S274_R2_001.fastq.gz	e48d130566380e31e1cbe86457cd8f0b	5a47156a50bb053eff4724cb283178ca		41833					
EX2107_D14_06W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D14_03_18S_S275	OKEX2107part							EX2107_D14_03_18S_S275_R1_001.fastq.gz	EX2107_D14_03_18S_S275_R2_001.fastq.gz	56673d6f0f5fcdb368a9e6f1a2d0bcab	500d2ae9504f011db3966a0a3e88e7a0		48825					
EX2107_D14_08W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D14_04_18S_S276	OKEX2107part							EX2107_D14_04_18S_S276_R1_001.fastq.gz	EX2107_D14_04_18S_S276_R2_001.fastq.gz	a1025234fcba25510b9a4592032f17ac	b958c7181d844fbe6cc1f3dbc8a005aa		115696					
